#{"t_start": 1661011954.6997313, "env_id": null}
r,l,t
-2.03,6,23.488425
2.376667,7,46.68305
2.29,7,69.642143
4.026667,7,92.642641
2.303333,7,115.589216
1.373333,7,138.663972
1.85,7,161.178577
3.293333,7,184.044807
0.593333,7,207.444663
1.19,7,230.386627
0.786667,7,253.190227
3.463333,7,276.12865
0.01,7,299.485792
4.246667,7,322.744298
1.95,7,345.797529
1.436667,7,368.714077
0.32,7,391.767848
2.823333,7,414.973454
5.536667,7,438.333064
6.18,7,461.426813
5.27,7,484.41826
5.496667,7,507.623493
3.36,7,530.59108
1.71,7,553.518335
6.353333,7,576.911411
4.37,7,599.997241
0.356667,7,622.609581
4.183333,7,645.379849
4.11,7,668.428962
1.836667,7,691.242759
1.396667,7,713.880003
0.68,7,736.559333
2.573333,7,759.976987
5.03,7,783.005832
1.003333,7,806.433151
-0.866667,7,829.285842
-0.153333,7,852.256026
0.806667,7,875.079237
-2.106667,7,897.842941
3.92,7,920.721884
0.353333,7,943.599336
0.95,7,966.699081
2.5,7,989.965585
1.243333,7,1013.224735
1.716667,7,1036.095291
1.303333,7,1058.814868
-1.816667,7,1081.526253
4.283333,7,1104.630264
3.316667,7,1127.608018
6.276667,7,1150.638182
3.78,7,1173.939594
6.17,7,1197.160661
-0.97,7,1220.594624
5.306667,7,1243.966966
3.546667,7,1266.687042
4.58,7,1289.731817
4.976667,7,1313.370154
3.833333,7,1336.451351
5.02,7,1359.927525
4.096667,7,1383.518707
-2.57,7,1407.043881
5.52,7,1430.420121
-4.61,7,1453.175957
-0.373333,7,1475.941564
-1.0,7,1499.081455
5.17,7,1522.557055
0.57,7,1545.722951
1.903333,7,1568.761638
2.31,7,1592.160086
0.913333,7,1615.703171
0.373333,7,1638.395039
1.526667,7,1661.089324
3.136667,7,1684.261351
2.276667,7,1707.445035
4.423333,7,1730.556345
4.5,7,1753.693259
7.133333,7,1777.0118
7.176667,7,1800.329412
5.306667,7,1823.040023
6.936667,7,1846.152087
2.546667,7,1869.320281
3.603333,7,1892.56591
1.383333,7,1915.925066
3.0,7,1939.219445
4.066667,7,1962.463718
2.743333,7,1985.609817
1.73,7,2008.454386
2.723333,7,2031.648941
5.94,7,2055.211172
3.27,7,2078.342009
2.8,7,2101.677525
2.296667,7,2124.689124
5.74,7,2147.777697
4.796667,7,2170.935805
4.153333,7,2193.754333
-1.713333,7,2217.161037
5.22,7,2240.237728
3.296667,7,2263.793821
5.46,7,2287.046037
0.71,7,2310.285868
-0.73,7,2333.609463
-0.143333,7,2356.939209
3.49,7,2380.294559
5.686667,7,2403.173567
4.866667,7,2426.486266
1.393333,7,2449.594922
4.833333,7,2473.041407
12.53,7,2496.246085
4.73,7,2519.416802
0.66,7,2542.153729
-2.656667,7,2565.484086
-0.506667,7,2588.495855
7.17,7,2611.793602
7.546667,7,2635.176502
2.58,7,2658.480443
4.79,7,2682.147183
4.2,7,2705.300386
9.423333,7,2728.950415
3.72,7,2751.895706
3.38,7,2775.021411
2.383333,7,2798.707176
1.536667,7,2822.278807
3.43,7,2845.724098
6.416667,7,2868.886687
0.62,7,2892.010748
5.59,7,2915.321434
0.25,7,2938.083913
5.196667,7,2961.265221
6.613333,7,2984.67985
6.43,7,3007.992441
0.316667,7,3031.558022
2.16,7,3055.279289
1.396667,7,3078.962982
2.953333,7,3101.830673
0.89,7,3124.642619
3.63,7,3147.979656
7.5,7,3171.194627
2.38,7,3194.376365
7.66,7,3217.675957
9.98,7,3240.823618
-0.73,7,3264.400181
-1.643333,7,3287.578235
5.13,7,3310.774593
6.233333,7,3334.002681
0.99,7,3357.302544
4.233333,7,3380.593829
5.15,7,3404.41925
0.92,7,3428.322562
5.333333,7,3451.627922
3.346667,7,3474.918982
6.97,7,3498.233655
6.043333,7,3521.567019
0.943333,7,3545.265324
2.12,7,3568.739975
4.193333,7,3591.870881
7.936667,7,3615.058161
7.083333,7,3638.373057
5.22,7,3661.898132
7.876667,7,3685.387838
7.216667,7,3708.361005
6.64,7,3731.895239
4.83,7,3755.24636
0.06,7,3778.705686
6.1,7,3802.315731
8.36,7,3826.020477
2.356667,7,3849.49619
2.07,7,3872.510864
3.826667,7,3895.275576
8.83,7,3918.56231
2.543333,7,3942.026527
10.73,7,3965.386148
6.706667,7,3988.834238
1.213333,7,4012.241682
1.996667,7,4035.621005
7.936667,7,4058.774271
11.23,7,4081.753172
-1.963333,7,4104.88729
5.943333,7,4128.614114
7.693333,7,4152.303735
4.963333,7,4175.607955
1.993333,7,4199.19312
-0.463333,7,4222.15747
5.85,7,4245.640437
1.746667,7,4268.999662
1.993333,7,4292.769555
6.27,7,4316.515731
4.196667,7,4339.488812
0.79,7,4362.866132
5.263333,7,4386.288612
-1.743333,7,4409.75089
5.97,7,4432.6023
2.403333,7,4455.556837
5.013333,7,4478.976352
7.333333,7,4502.18589
2.33,7,4525.373759
2.873333,7,4548.526365
5.14,7,4571.984195
12.876667,7,4595.680834
5.976667,7,4618.635673
6.143333,7,4641.637967
6.433333,7,4664.603716
8.6,7,4688.718867
2.556667,7,4712.178255
3.313333,7,4735.405573
6.95,7,4758.903509
6.503333,7,4781.861703
4.69,7,4805.133725
-2.026667,7,4829.176541
4.176667,7,4852.411462
0.033333,7,4875.987226
2.34,7,4899.290698
5.483333,7,4922.41095
5.666667,7,4944.98474
5.546667,7,4967.84308
0.526667,7,4990.746001
2.066667,7,5013.726412
2.196667,7,5036.806244
4.313333,7,5060.015999
4.013333,7,5083.07239
7.44,7,5106.525366
4.43,7,5130.086533
3.68,7,5153.232771
5.91,7,5176.596151
0.42,7,5199.62034
2.67,7,5223.280622
-0.073333,7,5246.619013
8.62,7,5269.751031
4.1,7,5293.22762
3.34,7,5316.661854
4.47,7,5340.369503
6.75,7,5363.330876
8.446667,7,5386.69787
8.87,7,5409.904193
4.8,7,5433.348392
-1.333333,7,5456.563208
2.816667,7,5479.732774
6.48,7,5503.096103
1.993333,7,5526.481163
4.143333,7,5549.993521
1.436667,7,5573.235012
2.953333,7,5596.760286
5.976667,7,5619.725621
1.306667,7,5642.821265
7.52,7,5666.198519
4.09,7,5689.59734
7.24,7,5713.416543
13.5,7,5736.94657
8.133333,7,5760.603966
-0.84,7,5784.014634
9.15,7,5807.490211
0.436667,7,5830.687298
6.513333,7,5854.11267
4.306667,7,5877.648472
6.513333,7,5901.159555
0.163333,7,5924.228258
0.523333,7,5946.979944
10.11,7,5970.188237
-1.066667,7,5994.040054
2.746667,7,6017.049142
0.473333,7,6040.08775
6.39,7,6063.129118
-0.573333,7,6086.43869
1.666667,7,6109.777126
3.166667,7,6133.022283
-0.7,7,6156.088424
5.486667,7,6179.607932
6.383333,7,6202.909017
5.553333,7,6225.773499
4.69,7,6248.841758
3.686667,7,6272.060754
5.333333,7,6294.894309
5.23,7,6318.037457
-0.183333,7,6340.900212
8.586667,7,6364.381188
5.43,7,6387.757451
2.716667,7,6411.125009
4.39,7,6434.699839
4.743333,7,6458.311269
4.046667,7,6481.16033
0.946667,7,6504.211982
6.53,7,6527.433222
4.09,7,6550.638563
-1.99,7,6573.65865
-0.84,7,6596.784647
3.146667,7,6619.802625
5.733333,7,6642.557499
7.94,7,6665.859556
-2.183333,7,6688.617985
5.91,7,6711.875821
1.546667,7,6735.762061
5.196667,7,6758.826233
11.53,7,6782.262667
3.483333,7,6805.654623
4.743333,7,6828.639675
5.43,7,6851.77174
4.12,7,6874.625626
5.17,7,6897.986159
-1.156667,7,6921.016547
4.443333,7,6943.969543
5.766667,7,6967.497061
8.63,7,6990.966084
-1.31,7,7014.758061
2.59,7,7037.737398
1.7,7,7061.026654
1.99,7,7084.509028
3.396667,7,7107.604188
1.83,7,7130.92041
-2.6,7,7154.423775
0.98,7,7177.954622
11.07,7,7201.258307
5.823333,7,7224.185238
4.66,7,7247.011787
1.43,7,7270.234428
1.9,7,7293.450048
1.046667,7,7316.936801
2.503333,7,7340.465095
2.666667,7,7363.927544
1.306667,7,7387.185816
5.676667,7,7410.36212
3.146667,7,7433.362993
6.73,7,7456.570753
11.26,7,7479.609825
6.85,7,7502.575735
4.816667,7,7525.43404
3.573333,7,7549.305354
2.326667,7,7572.564129
9.34,7,7596.035111
0.486667,7,7619.210073
3.1,7,7642.487211
3.873333,7,7665.753724
5.44,7,7688.862332
6.79,7,7712.219567
0.393333,7,7735.271624
-0.506667,7,7758.062788
-0.083333,7,7781.06814
3.686667,7,7804.033115
4.1,7,7827.125592
2.53,7,7850.259048
8.09,7,7873.350797
4.88,7,7896.504064
1.323333,7,7919.463279
6.423333,7,7942.753945
7.37,7,7965.854961
6.77,7,7988.872018
3.296667,7,8011.749487
-1.806667,7,8034.887859
2.8,7,8058.182049
6.723333,7,8081.964459
7.476667,7,8105.313057
3.493333,7,8128.574688
4.47,7,8151.879585
7.733333,7,8175.272449
4.34,7,8198.335549
5.553333,7,8221.424297
4.533333,7,8244.496765
5.716667,7,8267.587586
1.143333,7,8290.564995
1.25,7,8313.723822
5.06,7,8336.331536
7.406667,7,8359.529028
0.856667,7,8382.624427
4.073333,7,8405.696464
1.896667,7,8428.567504
4.41,7,8452.19225
1.006667,7,8475.235654
-0.79,7,8498.659276
3.683333,7,8521.964178
-0.54,7,8545.147203
0.073333,7,8567.900991
2.956667,7,8591.055639
2.703333,7,8614.168142
5.23,7,8637.266676
6.763333,7,8660.360436
1.146667,7,8683.108398
3.233333,7,8706.277819
7.2,7,8729.155851
-1.86,7,8752.72432
2.4,7,8775.944415
1.136667,7,8798.910094
-0.69,7,8821.603281
1.72,7,8844.299737
5.04,7,8867.316749
-1.866667,7,8890.0921
6.41,7,8913.197476
4.633333,7,8936.327819
2.086667,7,8958.946008
5.22,7,8982.123386
4.8,7,9004.941175
2.223333,7,9028.022621
5.43,7,9051.414785
4.923333,7,9074.136581
5.94,7,9097.072627
4.27,7,9120.098196
1.093333,7,9142.839039
4.336667,7,9165.850677
10.2,7,9189.09102
4.673333,7,9212.250747
3.473333,7,9235.196348
5.823333,7,9258.058758
6.353333,7,9280.931157
0.77,7,9303.712093
1.853333,7,9326.565141
4.256667,7,9349.671805
6.713333,7,9372.914465
-0.406667,7,9395.831801
-2.073333,7,9419.40248
-1.97,7,9442.306496
-1.95,7,9464.9006
6.203333,7,9488.171296
-1.736667,7,9511.051543
-2.15,7,9533.810422
-0.3,7,9557.379707
0.97,7,9580.348406
-0.593333,7,9603.730885
5.943333,7,9627.251068
2.636667,7,9650.063311
2.776667,7,9673.496579
6.103333,7,9697.313815
5.636667,7,9720.416834
-1.676667,7,9743.246677
5.42,7,9766.472067
0.81,7,9789.426675
1.003333,7,9811.927239
2.343333,7,9835.107466
-0.93,7,9858.357512
-4.53,7,9881.227042
-0.533333,7,9904.075526
1.59,7,9927.097709
4.376667,7,9950.726473
6.363333,7,9973.934034
-1.766667,7,9997.519925
-0.186667,7,10020.786379
-0.016667,7,10044.423822
2.13,7,10067.871538
0.56,7,10090.941253
5.226667,7,10114.151321
3.803333,7,10137.132168
4.363333,7,10160.319886
7.57,7,10183.366326
2.116667,7,10206.481294
1.236667,7,10229.565309
3.136667,7,10252.926027
4.516667,7,10276.020823
3.043333,7,10298.912921
1.886667,7,10321.577785
-1.843333,7,10345.009869
-2.023333,7,10367.859085
1.076667,7,10390.707704
4.386667,7,10413.589846
0.266667,7,10436.599273
6.563333,7,10459.934718
1.79,7,10483.056762
4.076667,7,10506.427597
-0.626667,7,10529.329889
8.24,7,10552.52317
5.663333,7,10575.667027
7.293333,7,10599.129961
-3.286667,7,10621.795745
2.123333,7,10645.040543
-0.453333,7,10668.114994
2.363333,7,10691.125143
-0.99,7,10714.048603
2.45,7,10736.990034
4.236667,7,10759.97265
1.243333,7,10783.489157
-1.446667,7,10806.589085
0.893333,7,10829.544235
1.766667,7,10852.426439
4.056667,7,10875.292479
1.056667,7,10898.476324
1.73,7,10921.226547
3.57,7,10943.787162
1.003333,7,10966.812884
1.726667,7,10989.83407
0.043333,7,11012.474285
3.99,7,11035.54773
1.086667,7,11058.395293
-1.796667,7,11081.458014
1.116667,7,11104.32297
-0.643333,7,11126.953272
1.203333,7,11149.446382
1.276667,7,11172.150245
-0.556667,7,11195.179552
1.05,7,11218.123798
1.86,7,11241.329758
2.226667,7,11264.151345
0.606667,7,11286.630038
-0.756667,7,11309.447372
2.406667,7,11332.392658
-2.243333,7,11355.142218
-0.053333,7,11378.038579
2.096667,7,11400.663327
3.473333,7,11423.287188
0.513333,7,11445.868902
1.903333,7,11468.679768
-2.143333,7,11491.81288
1.393333,7,11514.385238
-1.923333,7,11537.000196
1.583333,7,11559.739433
-1.723333,7,11582.712671
-0.526667,7,11605.992814
-3.323333,7,11628.728394
3.386667,7,11651.413096
2.236667,7,11674.183441
3.37,7,11697.228975
5.256667,7,11719.74537
-0.463333,7,11742.595733
2.25,7,11765.319825
3.086667,7,11788.098357
-2.076667,7,11810.60968
-0.513333,7,11833.334901
-2.003333,7,11855.998446
-1.96,7,11878.501979
4.143333,7,11901.527534
0.213333,7,11924.679194
-0.096667,7,11947.484815
1.3,7,11970.099666
3.836667,7,11993.419954
1.26,7,12015.963189
-0.726667,7,12038.388038
1.813333,7,12061.638729
-1.906667,7,12083.998637
1.066667,7,12106.439983
-0.193333,7,12129.117854
-1.746667,7,12151.746738
-1.616667,7,12174.120925
1.99,7,12196.481676
-0.266667,7,12218.791946
-1.913333,7,12241.636935
-0.603333,7,12264.556987
-0.91,7,12287.219832
3.62,7,12309.974603
-1.886667,7,12332.607908
-4.703333,7,12355.15599
0.903333,7,12377.951243
4.113333,7,12401.056819
-0.4,7,12423.932347
-2.006667,7,12446.525962
-3.03,7,12469.539899
2.54,7,12492.595581
1.13,7,12515.422424
-3.3,7,12538.335889
3.773333,7,12560.894268
1.0,7,12583.78426
2.41,7,12606.438014
3.583333,7,12629.285769
6.816667,7,12652.150474
0.583333,7,12674.815145
-0.666667,7,12697.626028
0.686667,7,12720.23803
3.616667,7,12742.689879
-1.523333,7,12765.944751
3.463333,7,12789.266316
3.03,7,12811.837597
1.876667,7,12834.787708
1.396667,7,12857.796973
-0.736667,7,12880.772223
4.493333,7,12903.769212
2.446667,7,12926.658452
-0.61,7,12949.74261
-2.226667,7,12972.695805
2.9,7,12995.694072
-0.386667,7,13018.432762
2.623333,7,13041.506596
-0.56,7,13064.345832
-4.6,7,13087.065551
-0.306667,7,13109.646521
2.323333,7,13132.054748
-0.866667,7,13154.56142
0.546667,7,13177.157245
2.943333,7,13200.131858
0.38,7,13223.059421
1.57,7,13246.250744
-1.45,7,13268.569141
0.6,7,13291.485801
3.826667,7,13314.473395
-2.103333,7,13337.297515
-0.04,7,13360.379778
3.363333,7,13383.072284
2.336667,7,13405.41067
-1.843333,7,13427.973248
-2.316667,7,13450.731709
2.61,7,13473.238215
2.516667,7,13495.737953
1.156667,7,13518.388309
0.75,7,13541.031938
0.006667,7,13563.75789
1.803333,7,13586.503119
-1.656667,7,13609.084594
1.316667,7,13632.243037
0.61,7,13654.858427
-0.406667,7,13677.738239
-2.096667,7,13700.540945
0.153333,7,13723.076038
-2.106667,7,13745.839458
0.776667,7,13768.436768
4.72,7,13791.006209
1.506667,7,13813.61723
-1.9,7,13836.028729
0.816667,7,13858.342006
-1.6,7,13881.277117
1.03,7,13903.970025
1.073333,7,13926.545465
-1.73,7,13948.990966
2.39,7,13971.896678
4.306667,7,13994.96094
2.11,7,14017.553203
3.57,7,14040.153524
-3.186667,7,14063.401688
-0.513333,7,14086.118509
-0.473333,7,14109.350623
2.696667,7,14131.894086
1.283333,7,14154.73069
-2.156667,7,14177.354043
0.9,7,14200.076898
-0.676667,7,14222.804409
-2.253333,7,14245.321979
3.766667,7,14267.950412
-3.446667,7,14290.634917
-1.443333,7,14313.686447
4.78,7,14336.485508
0.616667,7,14359.34796
0.4,7,14381.961913
2.646667,7,14404.590218
-3.336667,7,14427.50674
0.763333,7,14449.974604
0.906667,7,14472.404051
2.063333,7,14495.339213
-0.23,7,14517.712756
-2.063333,7,14540.216131
-3.16,7,14562.754096
-3.27,7,14585.458607
2.303333,7,14608.02165
-3.343333,7,14630.794924
1.78,7,14653.648133
1.06,7,14676.396327
-0.53,7,14699.153775
1.746667,7,14721.460841
-0.633333,7,14743.766981
5.593333,7,14766.678901
3.37,7,14789.956939
1.36,7,14812.909325
-0.65,7,14835.820943
-3.176667,7,14858.616421
2.22,7,14881.115701
6.966667,7,14904.019163
3.14,7,14926.474706
-1.956667,7,14948.985981
-1.85,7,14971.619926
-0.693333,7,14994.08626
0.3,7,15017.133503
2.15,7,15040.154452
2.206667,7,15063.43674
-4.75,7,15085.787275
2.426667,7,15108.640767
2.056667,7,15131.200908
3.45,7,15153.943804
3.826667,7,15176.789384
0.6,7,15199.645611
2.183333,7,15222.189267
-0.583333,7,15244.999008
-2.05,7,15267.944227
4.736667,7,15290.796998
1.696667,7,15313.510513
0.876667,7,15336.347604
2.553333,7,15359.290157
2.723333,7,15382.191572
-0.39,7,15404.787786
-3.173333,7,15427.212783
-3.053333,7,15450.043081
-2.87,7,15472.219473
-1.866667,7,15495.046406
-1.253333,7,15517.479867
-2.023333,7,15540.319282
6.72,7,15563.418435
-0.013333,7,15586.131108
1.253333,7,15609.044595
-0.353333,7,15631.905041
-0.073333,7,15654.123799
1.113333,7,15676.625131
-1.726667,7,15699.632874
-3.463333,7,15722.039544
0.506667,7,15744.668451
-1.966667,7,15767.213209
-0.38,7,15789.85637
0.396667,7,15812.702535
-2.066667,7,15835.18541
8.253333,7,15858.113386
-0.543333,7,15880.804044
6.233333,7,15903.83605
3.676667,7,15927.126098
0.726667,7,15950.036914
3.06,7,15973.131255
2.846667,7,15996.309299
-1.95,7,16018.564949
-3.37,7,16040.956003
5.26,7,16064.199758
0.953333,7,16086.847436
1.013333,7,16110.057541
3.34,7,16132.733549
-1.956667,7,16155.632458
2.863333,7,16177.95857
-1.843333,7,16200.379371
-0.856667,7,16222.919982
-1.946667,7,16245.694793
-3.173333,7,16269.112935
1.993333,7,16292.095064
-0.556667,7,16314.589496
5.763333,7,16337.793242
3.936667,7,16360.264113
-3.246667,7,16382.953783
