#{"t_start": 1661092150.4813974, "env_id": null}
r,l,t
3.873333,6,24.059483
8.466667,7,47.418468
5.53,7,70.521269
7.71,7,94.137965
9.49,7,117.615401
7.983333,7,140.569611
8.516667,7,163.746088
10.97,7,187.174829
9.92,7,210.598776
4.106667,7,233.722964
8.36,7,256.923645
9.37,7,280.491883
6.41,7,303.623708
10.3,7,327.047034
11.07,7,350.415935
12.6,7,374.072341
6.166667,7,397.526778
10.5,7,421.082393
10.63,7,444.5
6.43,7,467.606777
12.44,7,491.12706
12.16,7,514.875143
9.573333,7,537.881262
10.543333,7,561.534296
12.54,7,585.203555
11.36,7,608.614806
5.753333,7,631.772072
9.726667,7,655.579484
11.74,7,679.41349
8.743333,7,702.466435
10.33,7,726.038962
10.65,7,749.489137
12.19,7,773.407866
6.556667,7,796.781551
11.57,7,820.494858
9.79,7,844.020206
6.14,7,867.186706
11.19,7,890.624769
11.8,7,914.013847
11.76,7,937.189252
8.483333,7,960.888015
11.08,7,985.037758
11.64,7,1008.583206
7.276667,7,1032.097127
11.48,7,1055.27617
10.86,7,1078.596143
8.766667,7,1101.421906
9.726667,7,1124.889473
9.64,7,1148.469455
9.673333,7,1172.150328
6.346667,7,1195.298025
11.51,7,1218.9279
12.06,7,1242.401159
7.33,7,1265.435807
10.73,7,1288.699122
11.89,7,1312.286822
10.84,7,1336.065347
5.55,7,1359.481301
9.26,7,1383.104311
12.22,7,1407.232198
7.473333,7,1430.602905
11.72,7,1454.241761
10.84,7,1477.508894
8.206667,7,1500.574751
8.96,7,1524.16879
12.47,7,1547.960364
10.26,7,1571.585849
6.35,7,1595.167792
11.57,7,1618.7801
12.49,7,1642.277728
7.473333,7,1665.312075
7.08,7,1688.802414
9.76,7,1712.567637
11.37,7,1736.175246
5.386667,7,1759.269913
11.62,7,1783.053088
10.71,7,1806.574313
6.743333,7,1829.884231
8.156667,7,1852.895002
10.84,7,1876.156513
10.01,7,1899.580158
5.693333,7,1922.940876
11.26,7,1946.754972
11.33,7,1970.666218
6.676667,7,1994.31269
12.86,7,2017.999399
11.09,7,2041.239302
7.756667,7,2064.235244
10.696667,7,2087.874047
13.04,7,2111.640633
12.67,7,2135.451448
5.94,7,2158.645804
10.0,7,2181.663305
11.21,7,2204.884201
6.023333,7,2227.662812
12.3,7,2251.574579
11.76,7,2275.249111
11.6,7,2299.318531
8.073333,7,2323.098418
12.0,7,2346.633571
11.59,7,2370.380064
8.116667,7,2393.908459
10.57,7,2417.09573
12.07,7,2440.660337
10.79,7,2463.955339
9.776667,7,2487.780489
11.36,7,2511.669661
12.18,7,2535.083647
6.426667,7,2558.31747
11.92,7,2582.248185
11.57,7,2605.62779
8.226667,7,2628.720283
12.08,7,2652.399051
11.87,7,2675.940109
11.68,7,2699.614372
7.186667,7,2723.089414
12.0,7,2746.645869
12.24,7,2770.288814
6.593333,7,2793.649229
12.56,7,2817.121855
12.09,7,2840.825237
10.836667,7,2864.01947
7.75,7,2887.481546
12.47,7,2911.420332
12.45,7,2935.070565
7.043333,7,2958.562952
12.49,7,2982.090574
10.44,7,3005.49538
9.25,7,3028.919735
10.44,7,3052.951645
11.51,7,3076.642399
11.7,7,3100.211229
7.62,7,3123.89569
12.63,7,3147.633588
12.44,7,3171.337176
7.223333,7,3194.726719
12.81,7,3218.562465
11.83,7,3242.835125
10.696667,7,3265.863546
9.09,7,3289.872337
12.14,7,3313.782775
11.8,7,3337.455806
6.136667,7,3360.587044
12.49,7,3384.017036
10.27,7,3407.264312
7.39,7,3430.393318
10.47,7,3453.940021
12.57,7,3478.024742
13.21,7,3501.567571
6.69,7,3524.858437
12.03,7,3548.240364
12.0,7,3571.774395
7.073333,7,3595.041908
11.77,7,3618.847821
9.91,7,3642.226467
11.34,7,3665.649303
7.743333,7,3689.330654
11.34,7,3713.275735
9.76,7,3736.280318
4.9,7,3759.44657
10.87,7,3782.858938
11.8,7,3806.5988
9.256667,7,3829.609154
8.796667,7,3853.409306
8.19,7,3876.707453
8.426667,7,3899.832473
6.943333,7,3923.011457
12.56,7,3946.666579
12.22,7,3970.551308
7.616667,7,3993.485584
9.006667,7,4017.244931
11.07,7,4041.078466
10.243333,7,4064.028653
6.133333,7,4087.598215
10.36,7,4111.010121
11.27,7,4134.573707
5.11,7,4157.564261
7.073333,7,4180.702934
12.08,7,4204.381456
12.08,7,4227.647623
5.596667,7,4250.853041
10.98,7,4274.393469
12.07,7,4297.769802
6.08,7,4321.001299
12.27,7,4344.86704
10.016667,7,4368.053855
8.24,7,4391.175154
6.31,7,4414.471473
10.156667,7,4437.404794
10.543333,7,4460.944509
7.153333,7,4484.057967
9.8,7,4506.984634
9.743333,7,4530.496445
7.193333,7,4553.471359
8.703333,7,4577.464012
11.33,7,4601.211709
8.76,7,4624.607327
6.863333,7,4647.942019
7.81,7,4670.766227
9.893333,7,4694.45058
6.54,7,4717.620861
9.8,7,4741.224345
9.32,7,4764.736342
10.46,7,4788.272429
6.873333,7,4811.663506
9.56,7,4835.323976
9.183333,7,4858.599911
6.636667,7,4881.928423
10.09,7,4905.49647
6.7,7,4928.323215
7.36,7,4951.156839
3.866667,7,4973.975924
10.073333,7,4997.768972
7.236667,7,5020.45364
3.56,7,5043.021922
9.236667,7,5066.255327
8.833333,7,5089.759025
8.403333,7,5113.185539
7.01,7,5137.088386
8.65,7,5160.553248
7.353333,7,5184.159057
4.22,7,5207.116166
9.56,7,5230.14745
6.886667,7,5252.963315
6.8,7,5275.93992
9.16,7,5299.697202
6.726667,7,5322.6728
8.51,7,5345.724004
5.153333,7,5369.368567
8.74,7,5392.689436
8.07,7,5415.630795
4.51,7,5438.361855
10.9,7,5462.326992
9.06,7,5485.905963
10.11,7,5509.090158
4.306667,7,5532.180386
8.216667,7,5555.507944
11.2,7,5579.178615
6.59,7,5602.525607
8.86,7,5625.847965
9.91,7,5649.304319
7.576667,7,5672.334198
3.903333,7,5695.535625
7.31,7,5718.768677
7.453333,7,5741.578526
5.736667,7,5764.794922
8.57,7,5788.160779
9.3,7,5811.465019
7.656667,7,5834.480495
5.043333,7,5857.59811
8.4,7,5880.517994
8.466667,7,5904.305542
5.69,7,5927.516468
7.42,7,5950.392889
6.63,7,5972.979949
8.63,7,5996.144013
7.566667,7,6019.401417
8.396667,7,6042.984966
7.786667,7,6066.233245
5.576667,7,6089.667051
7.166667,7,6112.867285
6.893333,7,6135.736855
7.43,7,6158.516748
6.11,7,6181.622704
7.916667,7,6205.000683
6.976667,7,6228.122526
4.616667,7,6251.036889
7.013333,7,6274.037266
7.133333,7,6296.791366
7.01,7,6319.621258
6.746667,7,6342.519944
7.076667,7,6365.3928
5.736667,7,6388.171039
5.24,7,6410.986319
6.4,7,6433.913969
7.48,7,6456.903314
5.71,7,6479.73156
6.0,7,6502.770503
7.34,7,6525.392364
5.93,7,6548.046409
5.343333,7,6571.257772
7.813333,7,6594.551611
6.773333,7,6617.117013
5.283333,7,6640.483857
5.783333,7,6663.315166
6.87,7,6686.293506
7.196667,7,6708.97239
4.86,7,6731.851624
7.236667,7,6755.091695
9.46,7,6778.723068
5.906667,7,6801.308197
5.393333,7,6824.381947
8.546667,7,6848.014544
6.783333,7,6870.799012
5.713333,7,6893.722285
6.286667,7,6916.432741
6.14,7,6939.439556
7.31,7,6962.28699
6.83,7,6985.226289
8.2,7,7008.531803
7.35,7,7031.493474
4.643333,7,7054.77928
7.236667,7,7077.47442
8.186667,7,7100.85073
4.72,7,7123.871924
7.69,7,7147.753619
8.66,7,7171.017399
9.53,7,7194.916729
4.443333,7,7217.957455
9.8,7,7241.342989
7.416667,7,7264.072613
5.21,7,7286.760831
9.27,7,7310.814317
7.133333,7,7333.796746
7.323333,7,7357.065858
4.186667,7,7380.19225
9.17,7,7403.305371
8.496667,7,7426.579705
5.496667,7,7449.453628
12.77,7,7472.894995
7.606667,7,7496.924428
6.71,7,7519.883277
6.336667,7,7543.398613
7.646667,7,7566.261951
8.416667,7,7589.088058
5.7,7,7612.624904
9.06,7,7636.198331
6.92,7,7658.983341
6.406667,7,7681.762136
4.706667,7,7704.823221
7.37,7,7727.825042
8.46,7,7751.34639
5.956667,7,7774.714398
7.356667,7,7798.158343
7.6,7,7820.767165
8.46,7,7843.598783
6.22,7,7866.971384
8.686667,7,7890.588352
6.923333,7,7913.26861
3.846667,7,7935.858866
5.996667,7,7958.75369
6.663333,7,7982.323638
6.603333,7,8005.092968
6.476667,7,8028.189823
7.06,7,8051.440567
6.296667,7,8075.154396
4.663333,7,8097.964794
8.003333,7,8121.204804
10.4,7,8144.719697
5.703333,7,8167.836909
9.23,7,8191.370762
8.37,7,8214.466197
8.36,7,8237.648988
5.86,7,8260.660127
9.4,7,8284.099784
10.5,7,8307.784445
6.863333,7,8330.866483
9.416667,7,8354.344246
8.266667,7,8377.101857
10.84,7,8400.348094
4.29,7,8423.310633
9.023333,7,8446.896577
7.79,7,8469.818813
6.516667,7,8493.312603
10.99,7,8516.493577
10.13,7,8539.701858
10.293333,7,8562.732723
6.773333,7,8586.268458
7.493333,7,8609.448645
7.97,7,8632.346615
6.493333,7,8655.903021
9.4,7,8679.148387
10.31,7,8702.846271
7.47,7,8725.677193
8.7,7,8748.64335
10.26,7,8772.040532
10.62,7,8795.525838
5.98,7,8818.721842
9.926667,7,8841.864444
7.74,7,8864.970837
7.076667,7,8887.946579
10.193333,7,8911.614259
10.74,7,8935.016709
7.463333,7,8958.044028
6.636667,7,8981.316278
9.93,7,9004.492138
10.71,7,9028.353173
5.81,7,9051.515048
11.26,7,9075.480088
11.7,7,9099.269989
12.4,7,9122.552582
7.376667,7,9145.982151
11.43,7,9169.458058
12.16,7,9192.817809
6.61,7,9215.983764
11.77,7,9239.647269
12.0,7,9263.342558
10.95,7,9286.549464
9.593333,7,9309.808601
11.6,7,9333.360203
9.7,7,9356.909947
8.016667,7,9380.494532
11.97,7,9404.160963
13.2,7,9427.688423
7.653333,7,9450.625507
10.3,7,9474.427988
12.21,7,9497.661258
9.496667,7,9521.066824
6.09,7,9544.356519
10.5,7,9567.904878
9.023333,7,9590.909039
6.513333,7,9613.883906
9.33,7,9637.023397
9.94,7,9660.399523
11.68,7,9683.727547
4.856667,7,9706.940725
11.24,7,9730.315132
11.37,7,9754.137895
6.176667,7,9777.178185
8.39,7,9800.302818
8.22,7,9823.369812
9.57,7,9846.635075
6.976667,7,9869.878741
11.27,7,9893.42389
11.66,7,9917.637135
5.82,7,9941.365944
8.233333,7,9964.366009
6.89,7,9987.971617
6.65,7,10011.5308
9.89,7,10035.376449
11.63,7,10058.756782
10.56,7,10082.094291
7.73,7,10105.429002
10.37,7,10128.831437
11.17,7,10152.388113
6.25,7,10175.419507
7.41,7,10198.995339
9.88,7,10222.465731
8.446667,7,10245.683307
7.456667,7,10269.154007
8.45,7,10292.50705
7.53,7,10316.251135
5.21,7,10339.39353
9.36,7,10362.836693
8.463333,7,10385.892364
9.35,7,10408.895698
6.226667,7,10432.071235
11.37,7,10455.695674
7.526667,7,10479.108253
6.426667,7,10502.66195
9.57,7,10526.105912
10.34,7,10550.037844
8.42,7,10573.059249
8.243333,7,10596.501093
10.23,7,10619.82633
10.83,7,10643.096245
5.993333,7,10666.4514
8.58,7,10689.937161
6.8,7,10712.966572
5.303333,7,10736.03881
6.886667,7,10759.407433
8.133333,7,10782.578584
7.99,7,10805.506587
4.8,7,10828.425668
9.69,7,10852.013574
10.196667,7,10874.986609
5.233333,7,10898.263727
7.1,7,10921.642854
6.826667,7,10944.414511
8.93,7,10967.673914
4.823333,7,10990.889006
5.266667,7,11013.518596
8.166667,7,11037.076427
5.373333,7,11060.348824
10.11,7,11083.802738
8.76,7,11107.117504
6.76,7,11129.756489
2.44,7,11152.781249
8.72,7,11175.746264
6.696667,7,11198.899541
3.61,7,11222.222798
5.916667,7,11245.186723
5.816667,7,11268.51736
7.073333,7,11291.85959
9.466667,7,11315.853759
7.756667,7,11338.99301
9.063333,7,11362.473716
4.75,7,11385.918787
5.95,7,11408.833956
8.75,7,11432.682875
5.23,7,11455.496953
5.203333,7,11478.550802
7.77,7,11501.619542
7.37,7,11524.686883
4.826667,7,11548.025298
6.16,7,11571.093626
9.583333,7,11594.937742
5.153333,7,11617.773795
5.706667,7,11640.956323
8.34,7,11664.294909
8.536667,7,11687.908348
5.18,7,11711.230774
9.53,7,11734.287364
7.19,7,11757.514647
4.223333,7,11780.413869
6.913333,7,11803.783827
7.226667,7,11826.880135
8.3,7,11850.322406
3.41,7,11873.414552
7.133333,7,11896.201145
6.49,7,11918.694531
4.8,7,11941.360138
6.523333,7,11964.14141
7.846667,7,11987.552249
4.836667,7,12010.334872
2.323333,7,12033.688253
7.993333,7,12057.277577
8.606667,7,12081.165321
4.176667,7,12103.869727
6.38,7,12126.539212
7.23,7,12150.047905
6.61,7,12172.698488
2.26,7,12195.726366
6.546667,7,12218.666082
6.23,7,12241.265542
4.386667,7,12263.885717
8.94,7,12287.434322
6.476667,7,12310.220079
7.87,7,12333.677253
3.19,7,12356.953915
6.346667,7,12380.036254
7.54,7,12402.973734
0.733333,7,12425.506288
8.873333,7,12449.05489
7.623333,7,12471.684613
6.69,7,12494.484273
6.006667,7,12518.112153
6.263333,7,12541.138431
6.753333,7,12564.299488
4.006667,7,12587.213551
7.136667,7,12609.869372
8.58,7,12633.82873
6.966667,7,12656.528848
5.03,7,12679.416202
6.11,7,12702.462363
7.523333,7,12725.404794
3.883333,7,12748.477082
8.17,7,12771.917014
6.946667,7,12794.506197
6.37,7,12817.218616
4.323333,7,12840.487877
6.623333,7,12863.39153
5.8,7,12886.188376
3.82,7,12909.03915
5.686667,7,12931.933264
6.4,7,12954.782139
7.076667,7,12977.540383
5.62,7,13000.838326
6.363333,7,13023.475289
6.113333,7,13046.120942
4.796667,7,13069.624632
8.66,7,13093.139178
6.193333,7,13116.179779
6.79,7,13138.922083
4.8,7,13162.338066
7.45,7,13185.23492
8.63,7,13208.930031
3.31,7,13231.733552
9.603333,7,13255.411367
6.153333,7,13277.962666
5.26,7,13300.876174
6.25,7,13323.816151
8.116667,7,13346.438647
6.513333,7,13369.880856
5.233333,7,13393.05303
6.626667,7,13415.743773
6.42,7,13438.779748
6.02,7,13461.696844
5.483333,7,13484.617434
6.0,7,13507.399136
6.993333,7,13530.648416
5.703333,7,13554.096085
6.476667,7,13576.568222
6.21,7,13599.598729
3.633333,7,13622.248986
5.953333,7,13645.760475
6.396667,7,13668.70046
6.526667,7,13691.752537
5.026667,7,13715.09785
6.486667,7,13737.740853
5.55,7,13760.769031
5.233333,7,13783.367615
4.996667,7,13806.640995
8.67,7,13830.434544
6.353333,7,13853.58086
3.496667,7,13876.919509
6.383333,7,13899.620143
8.506667,7,13923.416775
1.153333,7,13945.788901
8.556667,7,13969.644887
6.553333,7,13992.731427
5.836667,7,14015.531043
2.523333,7,14038.324409
4.693333,7,14061.335242
6.686667,7,14085.067779
3.9,7,14107.904913
5.66,7,14130.504398
9.27,7,14154.094783
7.253333,7,14177.289773
3.706667,7,14200.344587
7.763333,7,14223.239121
10.356667,7,14247.15212
5.113333,7,14270.616617
7.22,7,14293.304551
6.376667,7,14316.052314
8.556667,7,14338.97457
4.626667,7,14361.680995
6.243333,7,14384.932408
5.406667,7,14407.943055
3.796667,7,14430.955126
5.933333,7,14453.476953
7.86,7,14477.263539
7.683333,7,14499.871452
3.513333,7,14522.694191
6.68,7,14545.661956
7.283333,7,14568.712623
4.526667,7,14591.336946
7.553333,7,14615.010605
8.653333,7,14638.246794
8.003333,7,14661.489854
3.676667,7,14685.251381
7.946667,7,14708.979989
6.69,7,14732.137541
3.786667,7,14755.150695
9.756667,7,14778.778192
7.363333,7,14802.412094
5.823333,7,14825.718162
7.75,7,14849.777765
7.49,7,14872.968211
8.39,7,14896.547982
4.54,7,14920.291249
