#{"t_start": 1661183722.4652815, "env_id": null}
r,l,t
7.42,7,26.949898
1.54,7,50.08182
1.7,7,73.046836
-1.03,7,95.992648
5.33,7,118.9948
8.8,7,141.969564
6.4,7,165.154066
2.03,7,188.03139
9.76,7,211.084946
-0.9,7,234.034421
3.76,7,256.756927
5.82,7,279.957186
9.4,7,302.982289
10.2,7,326.193129
4.1,7,349.479717
12.47,7,372.707348
9.7,7,395.880304
4.83,7,418.579093
6.82,7,442.072342
11.34,7,465.700719
12.33,7,488.990613
1.9,7,512.005147
9.19,7,535.010711
11.4,7,558.145797
5.73,7,580.771362
8.91,7,604.306407
-0.83,7,627.393039
4.93,7,650.654728
1.53,7,673.873905
7.7,7,696.533294
3.43,7,719.62618
-0.84,7,742.086944
7.13,7,765.254641
9.66,7,788.381818
10.37,7,811.548276
-6.0,7,834.416292
8.13,7,857.595204
9.53,7,880.815049
2.57,7,903.590839
6.84,7,926.419212
8.43,7,949.378594
10.74,7,972.737197
-1.57,7,995.766922
8.23,7,1019.018588
8.7,7,1041.858048
1.8,7,1064.500242
3.67,7,1087.38602
10.63,7,1110.502503
8.97,7,1133.363941
2.37,7,1156.491374
9.4,7,1179.572134
9.78,7,1202.718661
2.7,7,1225.869232
11.86,7,1249.053278
9.83,7,1272.447114
-0.76,7,1295.292655
1.97,7,1318.350444
-3.1,7,1341.200664
0.96,7,1364.142895
1.76,7,1387.161373
10.91,7,1410.469203
9.33,7,1433.691922
8.8,7,1456.851541
-6.0,7,1479.49068
9.1,7,1502.449336
8.41,7,1525.652158
-0.4,7,1548.327941
3.66,7,1571.334597
9.73,7,1594.49993
7.76,7,1617.330722
-3.97,7,1640.381278
0.97,7,1663.17576
7.72,7,1686.037499
1.73,7,1709.145862
10.1,7,1732.302722
2.33,7,1755.125376
1.64,7,1778.017482
4.53,7,1801.260204
8.99,7,1824.573805
9.36,7,1847.466756
2.14,7,1870.491092
8.83,7,1893.712616
11.26,7,1917.017597
3.04,7,1939.822141
3.87,7,1962.917173
7.43,7,1985.785678
1.93,7,2008.735343
-0.4,7,2031.496407
12.2,7,2054.430574
12.6,7,2078.003711
9.7,7,2101.027269
4.76,7,2124.11128
10.7,7,2147.280607
9.96,7,2170.473347
-0.83,7,2193.210451
13.27,7,2216.434105
11.2,7,2239.704045
9.9,7,2262.669849
7.02,7,2285.911118
12.24,7,2309.224096
12.27,7,2332.681593
2.27,7,2356.200573
12.53,7,2379.832378
10.5,7,2402.845463
5.83,7,2425.541243
11.57,7,2449.129297
12.38,7,2472.212088
12.97,7,2495.81479
4.03,7,2519.075308
12.21,7,2542.535536
10.67,7,2565.778771
3.97,7,2588.294117
11.51,7,2611.710534
12.76,7,2635.434379
12.84,7,2659.11181
3.31,7,2682.487194
12.84,7,2705.725933
12.9,7,2728.974296
5.23,7,2752.223697
12.81,7,2775.323228
11.79,7,2798.808658
12.73,7,2821.943847
5.2,7,2845.351677
13.1,7,2868.820781
11.9,7,2892.112066
3.03,7,2915.096899
12.07,7,2938.112626
12.91,7,2961.336649
7.99,7,2984.216652
8.22,7,3007.306161
12.4,7,3030.77801
12.36,7,3054.203686
4.63,7,3077.39209
12.89,7,3100.568518
12.44,7,3124.261732
4.93,7,3147.056714
8.13,7,3169.986283
11.86,7,3192.942086
11.54,7,3215.864389
2.73,7,3238.897204
12.16,7,3261.953654
11.94,7,3285.159674
8.27,7,3307.998495
10.5,7,3331.532068
12.6,7,3354.990396
13.17,7,3378.248365
4.57,7,3401.598201
10.9,7,3424.667628
10.67,7,3448.180091
2.67,7,3471.080585
10.86,7,3494.198401
12.57,7,3517.48023
11.54,7,3540.379449
3.8,7,3563.610313
12.51,7,3587.099124
12.2,7,3610.62533
2.6,7,3633.49909
12.88,7,3656.782284
13.13,7,3680.14566
12.7,7,3703.276245
4.93,7,3726.181086
12.31,7,3749.427222
13.04,7,3772.721258
5.37,7,3795.708128
12.89,7,3819.058987
12.21,7,3842.111407
9.3,7,3865.093892
6.8,7,3888.110986
11.97,7,3911.334672
12.76,7,3934.780284
2.8,7,3958.072885
12.14,7,3981.346824
12.37,7,4004.904659
9.77,7,4027.85733
8.97,7,4051.156192
10.97,7,4074.059327
11.36,7,4097.061888
1.77,7,4120.185878
10.18,7,4143.279083
10.97,7,4166.579375
8.56,7,4189.492214
8.56,7,4212.915613
12.26,7,4236.172129
10.61,7,4258.956205
1.7,7,4281.871694
10.94,7,4305.156
12.64,7,4328.574537
6.47,7,4351.618394
8.33,7,4375.31279
12.17,7,4398.150157
11.7,7,4421.14577
3.23,7,4444.061079
11.99,7,4467.471497
11.61,7,4490.667096
5.47,7,4513.660088
11.9,7,4536.841194
10.83,7,4559.786691
10.46,7,4582.932567
3.96,7,4606.583609
13.27,7,4629.967255
11.17,7,4652.848453
1.93,7,4675.94014
10.86,7,4699.079803
11.14,7,4722.06215
10.96,7,4744.947491
2.07,7,4768.168923
10.39,7,4791.206522
8.01,7,4814.168974
1.97,7,4837.00221
10.2,7,4860.076266
10.27,7,4883.009411
10.21,7,4906.336297
4.67,7,4929.557102
11.83,7,4952.683995
9.57,7,4976.171685
-0.6,7,4999.038747
12.01,7,5021.841739
8.2,7,5044.985517
6.13,7,5068.020796
4.43,7,5091.33857
9.38,7,5114.348279
8.76,7,5137.351475
2.13,7,5160.322283
10.3,7,5183.233268
2.82,7,5206.401484
6.5,7,5229.621939
4.27,7,5252.829152
8.57,7,5275.835201
9.3,7,5298.718088
2.07,7,5321.658189
10.3,7,5344.552085
8.71,7,5367.472564
7.6,7,5390.397326
3.23,7,5413.430339
10.36,7,5436.642598
10.7,7,5459.579171
2.23,7,5482.504562
8.4,7,5505.681873
8.77,7,5528.914338
7.63,7,5551.738578
7.96,7,5574.904137
10.23,7,5598.04798
8.87,7,5621.149411
3.7,7,5644.057766
9.97,7,5667.115932
10.7,7,5690.198833
4.36,7,5713.170056
6.29,7,5736.166825
10.61,7,5759.531396
8.87,7,5783.089576
1.56,7,5806.110534
9.2,7,5829.037155
10.34,7,5852.307538
5.07,7,5875.241179
9.26,7,5898.203596
10.9,7,5921.084446
8.75,7,5944.17519
1.73,7,5967.264693
9.54,7,5990.190279
9.17,7,6013.249229
3.84,7,6036.202164
9.99,7,6059.174919
9.15,7,6082.146321
10.18,7,6105.170526
4.64,7,6128.123876
11.43,7,6151.048327
9.87,7,6173.988597
4.33,7,6196.938667
10.34,7,6220.907027
10.89,7,6243.896653
9.97,7,6267.039497
3.06,7,6289.863852
11.66,7,6313.05068
10.24,7,6336.092971
1.84,7,6358.997057
9.04,7,6382.03493
9.14,7,6404.967341
10.41,7,6428.084646
2.7,7,6451.477532
12.17,7,6474.766856
9.24,7,6497.896455
1.57,7,6520.92898
10.77,7,6543.900772
11.04,7,6566.911357
11.81,7,6590.158453
5.07,7,6613.676205
11.27,7,6636.742826
11.78,7,6659.563807
1.6,7,6682.520851
10.56,7,6705.487188
12.0,7,6728.86007
10.07,7,6751.879067
5.43,7,6775.087627
12.19,7,6798.37246
10.56,7,6821.678381
3.03,7,6844.861174
10.5,7,6868.090893
11.14,7,6891.466378
8.19,7,6914.317573
5.5,7,6937.353556
9.86,7,6960.433173
10.81,7,6983.545655
2.84,7,7006.380107
11.09,7,7029.347919
10.03,7,7052.535409
8.07,7,7075.549753
8.64,7,7098.827461
11.93,7,7122.229725
11.97,7,7145.72218
4.54,7,7169.014521
13.06,7,7192.348008
11.44,7,7215.555418
7.73,7,7238.397225
9.3,7,7261.855263
11.53,7,7284.970762
11.5,7,7308.187824
3.27,7,7331.377804
11.99,7,7355.032272
12.6,7,7378.552902
5.47,7,7401.34419
12.11,7,7424.440006
12.63,7,7447.626527
12.64,7,7471.246489
0.2,7,7494.599066
10.86,7,7517.860318
12.86,7,7541.533912
3.27,7,7564.400473
12.76,7,7587.769282
11.67,7,7611.063465
11.93,7,7634.233481
6.54,7,7657.719132
12.4,7,7681.005044
12.84,7,7704.5528
2.8,7,7727.717262
11.99,7,7750.978542
12.26,7,7773.974034
8.76,7,7796.866834
9.03,7,7820.339373
12.77,7,7843.800011
12.96,7,7867.406848
4.43,7,7890.673153
12.17,7,7913.975155
12.21,7,7936.906061
9.02,7,7959.58328
9.06,7,7982.933025
12.86,7,8006.199298
11.7,7,8029.529743
2.69,7,8052.792579
12.39,7,8075.921037
11.34,7,8098.890913
5.04,7,8121.573186
9.16,7,8144.76535
9.8,7,8167.430378
11.66,7,8190.866217
2.9,7,8214.018861
12.0,7,8237.343904
11.37,7,8260.521371
5.67,7,8283.276966
11.99,7,8306.917332
12.23,7,8330.106061
12.17,7,8353.475275
2.0,7,8376.533473
11.44,7,8399.980782
11.15,7,8422.840138
4.94,7,8445.589487
12.53,7,8469.092407
12.3,7,8492.484908
12.34,7,8515.866543
2.36,7,8538.733768
11.12,7,8562.286833
11.86,7,8585.672806
2.7,7,8608.621072
11.49,7,8631.984334
10.96,7,8655.269428
10.87,7,8678.211116
5.07,7,8701.146881
12.27,7,8724.595749
11.87,7,8748.386181
-0.37,7,8771.293018
11.47,7,8794.698018
11.93,7,8818.102299
9.46,7,8840.97931
6.07,7,8864.57951
12.86,7,8887.958547
11.94,7,8911.140491
4.64,7,8934.721108
12.26,7,8958.373884
11.63,7,8981.979318
5.9,7,9005.01658
11.93,7,9028.1439
12.8,7,9051.271868
12.37,7,9074.415116
4.97,7,9097.414759
10.53,7,9120.430572
11.83,7,9144.065956
5.44,7,9166.946788
12.06,7,9190.099501
11.87,7,9213.583373
12.1,7,9236.986513
2.67,7,9260.14016
12.2,7,9283.586085
12.45,7,9307.02523
2.63,7,9330.473247
12.05,7,9354.089358
12.09,7,9377.608088
11.59,7,9400.601879
5.43,7,9424.079786
10.64,7,9446.980692
11.36,7,9470.361882
2.7,7,9493.50517
11.3,7,9516.787567
12.3,7,9540.225523
8.67,7,9563.138484
5.86,7,9586.252803
11.66,7,9609.295443
12.13,7,9632.53078
2.63,7,9655.700548
12.33,7,9679.006623
11.96,7,9702.624228
8.28,7,9725.413741
7.13,7,9748.546596
11.2,7,9771.589685
12.07,7,9794.966656
5.07,7,9818.092671
12.2,7,9841.325038
10.8,7,9864.360197
7.87,7,9887.284456
9.26,7,9910.079972
12.0,7,9933.792527
11.28,7,9957.260908
2.73,7,9980.657598
12.1,7,10003.777635
12.53,7,10027.084445
5.73,7,10050.007206
11.8,7,10073.407062
11.4,7,10096.399199
11.13,7,10119.631099
2.06,7,10142.710858
11.57,7,10166.245108
11.63,7,10189.137219
2.96,7,10211.824676
12.81,7,10235.187819
11.49,7,10258.474505
10.47,7,10282.145723
1.81,7,10305.507723
11.9,7,10328.693052
11.13,7,10351.951721
4.93,7,10374.989465
11.6,7,10398.351671
2.3,7,10421.060758
10.39,7,10444.043409
4.73,7,10467.163164
11.86,7,10490.648901
12.36,7,10514.047271
2.53,7,10537.181869
11.44,7,10560.469335
12.9,7,10583.448395
2.53,7,10606.1136
2.04,7,10629.209358
10.03,7,10652.215013
11.32,7,10675.542976
2.4,7,10698.694001
5.5,7,10721.602304
10.92,7,10744.896075
9.0,7,10767.745408
5.76,7,10790.862719
11.53,7,10813.696597
11.73,7,10836.854937
1.9,7,10859.815552
10.73,7,10883.09219
10.34,7,10906.296513
7.48,7,10928.867498
4.29,7,10951.890532
9.6,7,10974.929737
11.47,7,10998.143987
3.4,7,11021.264906
9.83,7,11044.551636
9.24,7,11067.685727
7.57,7,11090.560373
8.2,7,11113.741681
2.7,7,11136.527168
9.87,7,11159.679866
4.64,7,11182.648217
12.03,7,11205.899424
8.51,7,11229.000165
7.64,7,11251.495335
1.4,7,11274.202984
11.22,7,11297.212045
5.96,7,11319.967801
2.64,7,11343.176844
11.07,7,11366.392319
13.34,7,11389.795666
8.33,7,11412.689533
9.65,7,11436.272709
10.2,7,11459.365584
11.46,7,11482.529243
5.0,7,11505.713664
9.59,7,11529.338536
10.28,7,11553.072894
4.44,7,11575.708773
10.62,7,11598.862118
12.1,7,11622.106927
11.76,7,11645.017842
2.7,7,11667.940943
12.77,7,11691.059332
11.11,7,11714.648097
1.89,7,11737.68192
10.67,7,11760.707657
10.97,7,11784.291339
11.23,7,11807.594832
2.7,7,11830.586342
11.74,7,11853.887567
11.24,7,11877.053751
2.33,7,11900.276547
12.26,7,11923.515062
11.77,7,11946.619945
11.8,7,11969.713644
5.2,7,11993.221797
12.34,7,12016.398477
11.81,7,12039.416052
2.87,7,12062.719774
10.99,7,12086.121866
9.99,7,12109.262357
9.47,7,12132.365908
5.24,7,12155.943767
10.9,7,12179.684195
12.5,7,12203.125992
2.3,7,12225.972956
7.93,7,12249.223267
11.2,7,12272.610344
8.21,7,12295.549788
8.19,7,12319.586313
11.52,7,12343.633883
12.27,7,12366.823945
4.3,7,12390.125403
12.02,7,12413.048719
11.41,7,12436.526156
4.57,7,12459.665856
12.62,7,12482.731618
12.34,7,12505.597114
9.6,7,12528.432713
2.79,7,12551.871241
12.54,7,12575.003929
12.47,7,12597.977245
3.5,7,12620.719997
12.03,7,12643.829717
11.89,7,12667.539332
11.74,7,12690.686188
2.17,7,12714.051541
11.62,7,12737.360217
11.76,7,12760.741107
2.87,7,12783.747612
4.53,7,12806.568979
7.47,7,12829.52449
11.7,7,12852.541852
5.63,7,12876.190408
12.0,7,12899.78442
11.16,7,12923.261355
2.37,7,12946.579932
2.93,7,12968.994337
10.27,7,12992.039289
1.66,7,13014.924344
4.86,7,13038.091015
11.34,7,13061.060355
11.63,7,13084.63514
2.96,7,13108.188779
9.5,7,13131.52712
10.86,7,13154.330403
8.47,7,13177.093174
4.13,7,13199.969843
9.1,7,13223.147487
11.51,7,13246.409616
5.57,7,13269.626758
8.53,7,13292.874526
12.37,7,13316.227104
6.98,7,13338.834076
4.26,7,13361.94372
10.74,7,13385.136768
8.31,7,13408.172183
0.3,7,13431.401652
11.36,7,13454.69178
9.43,7,13477.948768
2.13,7,13500.819596
7.13,7,13523.637266
2.33,7,13546.388465
6.83,7,13569.305055
0.06,7,13591.939394
9.34,7,13614.778673
10.1,7,13638.240224
4.86,7,13661.174599
4.7,7,13684.447598
11.41,7,13707.74045
2.23,7,13730.099797
-0.07,7,13752.703583
4.56,7,13775.596394
11.31,7,13799.055856
-2.97,7,13821.666747
-1.17,7,13844.291863
5.13,7,13866.961738
10.77,7,13889.762253
2.77,7,13912.758
10.99,7,13935.937333
10.04,7,13959.075086
5.76,7,13981.948048
8.93,7,14005.061373
10.46,7,14028.290821
6.9,7,14051.47729
2.63,7,14074.268477
8.17,7,14097.424697
9.83,7,14120.794072
4.5,7,14143.638622
11.2,7,14167.158951
5.1,7,14190.044057
11.24,7,14213.435157
2.83,7,14236.725025
10.6,7,14259.719158
2.1,7,14282.476746
-0.73,7,14305.396598
7.0,7,14328.443941
4.87,7,14351.619266
11.3,7,14374.796211
-1.06,7,14397.747551
7.5,7,14420.783347
10.21,7,14443.663051
-0.8,7,14466.284918
6.73,7,14489.494031
11.6,7,14512.889066
11.42,7,14536.288446
2.03,7,14559.420424
1.6,7,14582.605571
8.76,7,14605.68496
-0.8,7,14628.264822
2.76,7,14651.587234
10.28,7,14675.076699
10.24,7,14698.129351
3.04,7,14721.273444
4.43,7,14744.239969
7.84,7,14767.099554
-0.8,7,14789.942585
10.57,7,14812.862687
11.21,7,14836.11708
7.56,7,14859.090305
6.04,7,14882.501565
11.83,7,14905.750196
11.9,7,14929.043864
5.2,7,14952.180726
12.17,7,14975.4904
10.84,7,14998.529941
2.13,7,15021.133002
4.59,7,15044.270695
6.97,7,15067.507601
10.74,7,15090.658822
2.16,7,15113.514111
8.07,7,15136.625017
11.94,7,15159.657969
7.5,7,15182.31806
4.83,7,15205.419133
11.64,7,15228.379506
5.63,7,15251.359891
3.1,7,15274.581199
5.57,7,15297.470747
9.03,7,15320.81883
9.2,7,15343.580724
0.2,7,15366.675711
7.91,7,15389.714272
5.13,7,15413.290036
2.87,7,15436.527684
8.13,7,15459.53405
3.06,7,15482.124436
5.3,7,15505.283965
4.64,7,15528.493971
10.54,7,15551.527472
2.83,7,15573.944966
2.5,7,15597.684035
10.59,7,15620.94851
8.0,7,15643.972415
7.72,7,15666.833509
8.37,7,15690.332636
11.97,7,15713.83383
10.7,7,15736.636995
0.13,7,15759.392722
10.52,7,15782.769109
9.87,7,15805.733458
4.38,7,15828.369756
8.04,7,15851.431976
10.33,7,15874.272892
6.79,7,15897.40933
3.0,7,15920.497026
7.93,7,15943.854878
13.13,7,15967.351041
5.4,7,15990.449183
10.96,7,16013.863051
11.06,7,16037.103208
11.1,7,16060.068558
1.13,7,16083.012666
8.17,7,16105.933814
7.07,7,16128.838588
-0.17,7,16151.241896
7.96,7,16174.535182
11.13,7,16197.777841
12.3,7,16221.057181
1.6,7,16243.98896
9.34,7,16267.185784
10.1,7,16290.094969
-0.3,7,16312.850953
13.17,7,16336.369085
12.77,7,16359.768056
11.54,7,16383.180229
5.67,7,16406.896279
8.59,7,16429.816616
11.02,7,16452.99265
4.8,7,16475.836987
11.47,7,16499.196003
13.26,7,16522.495593
10.36,7,16545.491316
4.03,7,16568.664813
8.31,7,16591.463655
10.0,7,16614.749984
2.49,7,16637.831028
12.5,7,16660.92107
4.94,7,16684.212512
7.4,7,16707.061314
6.04,7,16730.433807
11.72,7,16753.502061
11.77,7,16776.610201
5.06,7,16799.688343
10.99,7,16822.85887
11.44,7,16845.953323
7.71,7,16868.539994
4.9,7,16891.513032
10.67,7,16914.858035
10.46,7,16937.869802
2.94,7,16961.116509
7.0,7,16984.402553
11.16,7,17007.612756
7.5,7,17030.184124
8.33,7,17053.504981
10.57,7,17077.205175
12.43,7,17100.769038
2.9,7,17123.9
12.61,7,17147.153709
12.29,7,17170.259315
6.41,7,17193.092957
11.96,7,17216.128972
12.5,7,17239.325558
13.07,7,17262.578496
5.63,7,17285.924142
12.16,7,17308.953411
12.03,7,17332.478391
5.47,7,17355.299041
9.87,7,17378.611314
11.83,7,17401.645284
11.92,7,17425.007051
2.09,7,17448.350614
12.66,7,17471.880774
11.48,7,17494.83755
2.69,7,17518.043687
10.9,7,17541.876199
12.3,7,17565.564228
7.96,7,17588.238347
6.3,7,17611.39382
11.67,7,17634.618279
10.03,7,17657.744967
-0.23,7,17680.74654
10.6,7,17704.42397
11.2,7,17727.395411
9.34,7,17750.264329
3.44,7,17773.2898
9.59,7,17796.651304
7.07,7,17819.637926
2.1,7,17842.951357
12.1,7,17866.425046
7.26,7,17889.636894
4.76,7,17912.423496
8.1,7,17935.768471
13.08,7,17959.12538
10.92,7,17982.396474
2.66,7,18005.799527
10.94,7,18028.857535
8.73,7,18051.701741
2.56,7,18074.595272
9.01,7,18098.168774
12.76,7,18121.488349
11.87,7,18144.433578
2.76,7,18167.487745
10.96,7,18190.730544
12.71,7,18213.725999
6.03,7,18236.91103
9.29,7,18260.123416
12.01,7,18283.067076
11.73,7,18306.326258
-0.03,7,18329.128744
11.44,7,18352.304515
11.84,7,18375.639879
5.1,7,18398.761742
12.13,7,18421.938857
12.02,7,18445.281478
12.27,7,18468.201343
2.27,7,18491.535464
12.24,7,18514.543138
11.92,7,18537.646368
3.1,7,18560.543288
11.86,7,18583.693362
12.86,7,18606.965238
11.54,7,18630.075953
0.9,7,18653.079175
12.19,7,18676.419987
12.46,7,18699.576824
2.83,7,18722.578231
12.24,7,18746.178435
11.82,7,18769.407542
10.83,7,18792.585853
3.8,7,18815.747056
12.5,7,18839.657838
12.09,7,18862.90453
3.7,7,18886.145811
5.06,7,18908.914989
12.17,7,18932.527181
9.1,7,18955.576674
7.14,7,18978.565122
12.57,7,19001.619072
12.39,7,19024.854614
4.79,7,19047.770297
12.14,7,19070.823961
12.06,7,19094.089694
1.8,7,19116.988235
7.8,7,19140.271577
11.66,7,19163.855347
13.24,7,19187.152799
3.33,7,19210.433947
11.49,7,19233.659803
11.17,7,19256.751743
5.47,7,19279.556016
4.2,7,19302.509291
12.36,7,19325.820267
11.9,7,19349.395177
1.2,7,19372.766388
11.46,7,19396.005111
10.4,7,19419.436387
5.47,7,19442.167013
11.63,7,19465.356156
9.4,7,19488.923598
11.76,7,19512.6291
2.37,7,19535.702398
11.58,7,19558.489631
8.67,7,19581.349269
2.4,7,19604.190943
11.4,7,19627.055476
12.1,7,19650.352736
12.27,7,19673.707673
2.33,7,19696.953719
11.47,7,19720.170251
12.81,7,19743.192071
4.9,7,19766.35439
12.53,7,19789.479546
11.56,7,19812.495334
11.54,7,19835.399409
5.94,7,19858.45637
12.27,7,19881.930243
11.23,7,19905.177534
3.41,7,19928.430682
11.63,7,19951.52797
10.96,7,19975.231703
10.16,7,19998.021958
9.07,7,20021.044769
12.14,7,20044.378597
11.77,7,20067.519878
4.03,7,20090.641196
9.94,7,20113.451744
12.51,7,20136.632401
9.27,7,20159.500314
6.5,7,20182.486939
11.53,7,20205.742193
11.24,7,20229.482466
2.9,7,20252.566549
8.17,7,20275.648437
11.2,7,20298.896739
5.23,7,20321.88614
8.47,7,20345.686802
11.43,7,20368.656983
10.36,7,20391.823891
5.2,7,20414.940239
11.56,7,20437.90746
12.74,7,20460.699162
6.17,7,20483.708157
11.09,7,20507.276791
11.1,7,20530.716744
11.77,7,20553.78321
2.77,7,20576.876454
11.99,7,20599.909455
12.1,7,20623.28837
3.67,7,20646.250231
11.66,7,20669.32804
10.96,7,20692.364509
12.43,7,20715.401836
2.43,7,20738.665257
11.16,7,20762.030524
11.56,7,20785.561598
5.66,7,20808.431423
9.16,7,20831.49012
11.23,7,20854.8766
12.1,7,20877.761135
5.93,7,20900.762331
12.51,7,20923.590386
11.5,7,20946.839169
5.03,7,20970.091853
11.68,7,20993.025041
12.61,7,21015.792034
8.94,7,21038.919051
5.93,7,21061.9557
10.51,7,21085.406282
11.57,7,21108.481754
3.1,7,21131.587877
12.11,7,21154.421592
11.2,7,21177.3549
8.33,7,21200.192477
5.7,7,21223.162004
12.27,7,21246.143172
10.83,7,21269.675783
3.3,7,21292.681755
11.43,7,21315.554268
8.98,7,21338.879252
8.49,7,21362.065165
4.67,7,21385.434014
11.54,7,21408.610569
9.5,7,21432.126062
4.6,7,21455.13662
12.53,7,21478.191735
9.76,7,21501.069065
8.2,7,21523.690719
8.66,7,21547.457953
11.43,7,21570.550209
11.1,7,21593.865004
3.46,7,21616.713658
11.4,7,21639.714556
11.02,7,21662.781828
5.63,7,21685.709446
8.06,7,21709.144357
11.54,7,21732.06488
11.68,7,21755.040929
3.46,7,21778.630811
11.39,7,21801.747882
13.1,7,21824.863418
5.84,7,21847.882213
11.0,7,21871.413164
11.16,7,21894.50992
11.64,7,21918.280463
2.7,7,21941.339365
11.7,7,21964.326436
10.04,7,21987.610878
2.89,7,22010.6055
