#{"t_start": 1661258181.6065865, "env_id": null}
r,l,t
1.46,6,23.648906
6.4,7,46.7486
5.0,7,69.559691
1.53,7,92.532184
6.87,7,115.512481
10.36,7,138.653143
8.83,7,161.495649
11.0,7,184.507027
10.34,7,207.604029
6.24,7,230.61396
1.37,7,253.433907
-3.2,7,276.54254
11.7,7,299.594362
10.54,7,322.851738
7.5,7,345.674172
-6.0,7,368.407954
3.93,7,391.647136
9.69,7,415.057754
9.17,7,438.169055
-3.27,7,460.918472
2.37,7,484.345083
11.1,7,507.589446
8.53,7,530.370065
2.21,7,553.044538
-3.53,7,576.119458
6.9,7,599.003303
-1.07,7,621.692775
1.4,7,644.465213
-6.0,7,667.271319
7.5,7,690.499318
3.53,7,713.275278
0.97,7,736.041247
-0.86,7,759.000241
-0.47,7,782.135699
11.09,7,805.581968
10.48,7,828.833125
3.63,7,851.597642
-6.0,7,874.612337
10.98,7,897.579946
6.83,7,920.684682
4.21,7,944.025842
-6.0,7,966.719522
0.97,7,989.796158
7.19,7,1013.394995
11.8,7,1036.464999
-0.8,7,1059.087656
-6.0,7,1081.74678
10.21,7,1104.745425
6.49,7,1127.943034
6.84,7,1150.784671
-6.0,7,1173.442533
10.31,7,1196.804832
11.06,7,1220.102132
13.08,7,1243.661217
-6.0,7,1266.10543
-1.17,7,1288.931379
11.1,7,1312.31674
-0.43,7,1335.054517
-3.1,7,1357.804069
-2.87,7,1381.094191
12.66,7,1404.115979
11.0,7,1427.18163
6.64,7,1449.743349
-6.0,7,1472.33725
9.91,7,1495.636993
10.49,7,1518.679866
8.0,7,1541.576868
-3.17,7,1564.234526
3.43,7,1587.895847
12.89,7,1611.223643
9.44,7,1634.040355
1.43,7,1656.829619
-3.37,7,1679.878545
12.69,7,1702.966114
11.96,7,1726.165057
8.67,7,1749.222626
-6.0,7,1771.895274
8.21,7,1795.271996
10.73,7,1818.431678
11.33,7,1841.453951
-3.2,7,1864.269105
2.33,7,1887.387522
12.6,7,1910.766593
12.06,7,1934.225247
2.86,7,1957.143021
-3.33,7,1980.427632
11.44,7,2003.432818
12.93,7,2026.770104
8.56,7,2049.786971
-6.0,7,2072.519529
9.7,7,2095.864863
12.24,7,2118.935163
13.18,7,2142.384748
-3.0,7,2165.061619
2.07,7,2188.20646
11.86,7,2211.126835
12.84,7,2234.672354
2.9,7,2257.762857
-3.17,7,2280.654508
12.64,7,2304.224751
12.87,7,2327.418454
9.39,7,2350.288905
-6.0,7,2372.804274
8.21,7,2395.93859
12.6,7,2419.113625
12.87,7,2442.550323
-3.17,7,2465.350042
2.5,7,2488.673382
11.26,7,2511.815091
12.85,7,2535.193178
2.79,7,2557.784073
-6.0,7,2580.614882
12.7,7,2604.21929
11.6,7,2627.550728
11.4,7,2650.254505
-6.0,7,2673.063882
9.49,7,2696.22265
12.29,7,2719.282898
12.68,7,2742.090974
-1.57,7,2764.807165
2.44,7,2787.886228
12.73,7,2811.380146
12.37,7,2835.064589
1.84,7,2857.883939
-6.0,7,2880.739722
11.66,7,2904.155427
12.64,7,2927.338622
12.07,7,2950.526395
-6.0,7,2973.338793
8.6,7,2996.959616
11.97,7,3020.038832
12.23,7,3043.48637
-3.27,7,3066.080985
0.2,7,3089.563971
10.61,7,3112.699677
12.6,7,3135.990135
5.23,7,3158.944132
-6.0,7,3181.995816
12.73,7,3205.507746
12.34,7,3228.843274
11.7,7,3251.990869
-6.0,7,3274.614662
6.44,7,3297.865287
11.01,7,3321.19166
8.79,7,3344.310523
-3.23,7,3367.066138
1.87,7,3390.208135
11.15,7,3413.310652
12.56,7,3436.573692
5.6,7,3459.284102
-6.0,7,3482.255146
9.94,7,3505.334747
10.14,7,3528.628366
8.76,7,3551.766588
-6.0,7,3574.402507
-1.17,7,3597.316858
7.12,7,3620.908867
11.5,7,3644.59094
-0.47,7,3667.092526
-6.0,7,3689.632843
10.16,7,3712.832919
11.13,7,3736.282744
5.13,7,3758.992835
-6.0,7,3781.550084
10.8,7,3804.887599
10.9,7,3828.364394
12.69,7,3851.728204
-6.0,7,3874.403811
4.94,7,3897.528805
4.57,7,3920.607182
6.54,7,3943.745113
-0.97,7,3966.493927
-3.77,7,3989.527141
9.2,7,4012.749069
8.63,7,4035.618573
6.77,7,4058.406559
-6.0,7,4081.024323
9.96,7,4104.619515
10.9,7,4127.90264
11.47,7,4151.076499
-6.0,7,4173.816517
1.93,7,4197.29021
10.02,7,4220.294657
11.92,7,4243.608039
2.3,7,4266.532192
-3.0,7,4289.826559
7.44,7,4312.912026
7.77,7,4336.588681
8.56,7,4359.44148
-6.0,7,4381.966012
9.73,7,4405.289679
6.23,7,4428.176593
6.9,7,4451.360844
-6.0,7,4473.95167
1.94,7,4497.289548
9.67,7,4520.348056
7.56,7,4543.673522
2.7,7,4566.461962
-3.8,7,4589.18522
6.46,7,4612.185888
9.96,7,4635.520476
8.73,7,4658.839433
-6.0,7,4681.706699
9.02,7,4704.889481
10.74,7,4728.260029
11.37,7,4751.624918
-3.5,7,4774.120865
5.77,7,4797.470965
8.03,7,4820.81391
9.93,7,4844.013767
2.13,7,4866.783678
-6.0,7,4889.628042
5.47,7,4912.711231
3.71,7,4935.689045
3.78,7,4958.315625
-6.0,7,4980.980561
3.57,7,5004.025666
10.63,7,5027.35711
12.27,7,5050.673036
-3.37,7,5073.202535
2.03,7,5096.56602
11.33,7,5119.91976
12.16,7,5143.111243
1.07,7,5165.892617
-3.07,7,5189.239607
11.83,7,5212.717045
6.63,7,5235.70715
8.11,7,5258.689539
-6.0,7,5281.267034
7.24,7,5304.523774
11.0,7,5327.661556
12.2,7,5350.98717
-3.37,7,5373.617077
3.16,7,5396.943657
9.93,7,5420.201
9.89,7,5443.593376
1.5,7,5466.495251
-3.87,7,5489.849602
12.93,7,5513.100768
10.9,7,5536.429814
6.34,7,5559.342959
-6.0,7,5582.2629
7.67,7,5605.680379
11.48,7,5628.833644
10.7,7,5652.258924
-3.0,7,5675.092254
3.14,7,5698.184338
12.36,7,5721.450922
9.93,7,5744.642177
4.7,7,5767.498726
-3.5,7,5790.677606
12.26,7,5814.0409
11.14,7,5837.629765
10.52,7,5860.535952
-6.0,7,5883.139644
3.33,7,5906.278003
11.47,7,5929.827804
12.27,7,5953.434277
-3.33,7,5976.084334
2.33,7,5999.407086
10.89,7,6022.699247
10.2,7,6045.964454
3.0,7,6068.696161
-3.7,7,6091.582988
7.71,7,6114.919281
10.23,7,6138.452469
6.59,7,6161.365015
-6.0,7,6183.987624
4.39,7,6207.025138
5.48,7,6230.034661
6.21,7,6252.848858
-1.14,7,6275.511875
-0.63,7,6298.358783
9.83,7,6321.616201
8.54,7,6344.693286
1.5,7,6367.480697
-6.0,7,6390.358986
11.09,7,6413.975272
9.06,7,6437.040042
9.87,7,6460.321218
-6.0,7,6482.99454
5.9,7,6506.221697
9.91,7,6529.411199
8.47,7,6552.70152
-0.53,7,6575.226998
-3.13,7,6598.560208
11.32,7,6621.825763
10.43,7,6645.107192
6.36,7,6668.204606
-6.0,7,6691.354114
10.23,7,6714.423454
7.54,7,6737.764622
11.32,7,6760.997212
-6.0,7,6783.458149
4.6,7,6806.478912
1.94,7,6829.227556
12.12,7,6852.661463
-0.37,7,6875.480801
-0.8,7,6898.522024
10.7,7,6921.76431
11.32,7,6945.429594
5.8,7,6968.144542
-6.0,7,6990.720675
11.21,7,7013.857421
11.38,7,7037.370842
7.39,7,7060.54465
-6.0,7,7083.153162
4.83,7,7106.606114
10.83,7,7130.106752
10.84,7,7153.325719
-0.6,7,7175.840006
-3.8,7,7198.686038
9.73,7,7222.144215
6.22,7,7245.24311
2.2,7,7268.036504
-6.0,7,7290.968596
11.1,7,7314.454083
11.06,7,7337.771626
12.84,7,7361.063986
-6.0,7,7383.846845
4.83,7,7406.918881
7.83,7,7429.906113
9.2,7,7453.06157
-0.27,7,7475.747655
-3.33,7,7498.673281
10.94,7,7521.815393
12.17,7,7544.781479
6.44,7,7567.45161
-6.0,7,7589.989981
12.23,7,7613.427092
8.3,7,7636.563392
8.86,7,7659.50481
-3.57,7,7682.256002
4.73,7,7705.711846
-0.53,7,7728.309708
10.63,7,7751.495478
1.13,7,7774.313071
-3.37,7,7797.460633
10.9,7,7820.824059
9.87,7,7844.049394
1.23,7,7867.022129
-6.0,7,7889.61046
7.68,7,7912.621109
1.14,7,7935.46912
6.03,7,7958.676992
-3.17,7,7981.366881
-6.0,7,8004.256876
7.17,7,8027.538535
10.67,7,8050.825187
2.43,7,8073.53985
-6.0,7,8096.310467
12.73,7,8119.703876
-0.66,7,8142.615102
9.5,7,8165.58687
-6.0,7,8188.274037
9.11,7,8211.807874
12.36,7,8235.147222
9.37,7,8258.212347
-0.57,7,8280.738441
2.83,7,8303.805584
8.96,7,8327.022718
9.53,7,8350.28949
1.97,7,8373.157381
-6.0,7,8396.338001
11.07,7,8419.319985
13.3,7,8442.152831
12.39,7,8465.170609
-6.0,7,8487.944432
7.97,7,8511.207783
4.47,7,8534.049186
9.57,7,8557.235966
-0.5,7,8579.944133
-3.07,7,8602.643067
-3.33,7,8625.634541
12.53,7,8648.719369
5.16,7,8671.371506
-6.0,7,8694.082097
12.27,7,8717.517987
10.19,7,8740.486906
8.9,7,8763.595717
-6.0,7,8786.213615
5.73,7,8809.797224
3.12,7,8832.627661
11.43,7,8855.55457
2.36,7,8878.407028
-2.97,7,8901.756982
10.96,7,8925.083913
9.07,7,8948.24056
7.24,7,8971.110025
-6.0,7,8993.762469
9.47,7,9016.993669
10.73,7,9040.034477
12.67,7,9063.377437
-3.6,7,9086.033475
3.1,7,9109.344847
12.67,7,9132.689958
10.77,7,9156.161388
2.67,7,9178.979625
-2.87,7,9202.023219
11.97,7,9225.155206
8.77,7,9248.371719
6.33,7,9271.284542
-6.0,7,9294.085876
7.27,7,9317.248622
9.77,7,9340.264753
11.17,7,9363.650706
-3.5,7,9386.236376
-6.0,7,9408.669706
-1.03,7,9431.481249
7.67,7,9454.615888
-0.96,7,9477.180997
-3.9,7,9500.094358
12.1,7,9523.435633
1.57,7,9546.467405
11.64,7,9569.23069
-6.0,7,9591.816295
8.63,7,9615.181764
12.18,7,9638.758131
7.76,7,9661.863464
-1.46,7,9684.538562
-0.86,7,9707.775441
-0.66,7,9730.606629
1.3,7,9753.100967
6.04,7,9775.835633
-6.0,7,9798.543375
2.14,7,9821.222898
-0.7,7,9844.033591
-1.03,7,9866.90433
-6.0,7,9889.687334
5.7,7,9913.260286
13.1,7,9936.295428
12.38,7,9959.370519
2.06,7,9982.276709
-0.64,7,10005.356151
11.0,7,10028.62658
10.63,7,10051.969746
8.97,7,10074.812199
-6.0,7,10097.58413
12.53,7,10120.668643
12.27,7,10143.972602
12.93,7,10167.381843
-6.0,7,10190.182633
4.69,7,10213.194618
5.54,7,10236.111827
4.7,7,10258.957858
3.14,7,10281.74403
-2.93,7,10304.727805
12.63,7,10328.141347
1.4,7,10350.841657
-0.37,7,10373.389088
-6.0,7,10396.385257
7.65,7,10419.782784
12.37,7,10443.548331
12.76,7,10467.048407
-3.27,7,10489.607825
3.43,7,10512.768563
12.84,7,10536.025734
2.13,7,10558.78308
-0.67,7,10581.460932
-2.93,7,10604.597572
12.67,7,10627.945873
4.97,7,10650.502153
10.56,7,10673.180537
-6.0,7,10695.856614
10.5,7,10718.954313
10.2,7,10742.103606
5.52,7,10765.039222
-3.2,7,10787.83232
0.17,7,10810.837904
10.33,7,10834.026281
12.36,7,10857.423121
5.74,7,10880.166166
-6.0,7,10903.384119
12.63,7,10926.704787
11.6,7,10949.515509
11.22,7,10972.61722
-6.0,7,10995.287758
4.67,7,11018.591587
12.7,7,11041.873925
12.1,7,11064.774704
-0.57,7,11087.688467
0.0,7,11110.732941
12.94,7,11133.881242
12.2,7,11157.048457
5.27,7,11179.850328
-6.0,7,11202.648228
7.3,7,11225.453759
12.3,7,11248.837787
9.91,7,11271.862963
-6.0,7,11294.598518
6.73,7,11317.831831
12.37,7,11341.013882
12.2,7,11364.359969
-0.07,7,11387.155159
-0.57,7,11410.70208
12.54,7,11434.045219
12.94,7,11457.380685
7.87,7,11480.153362
-6.0,7,11502.81715
10.59,7,11525.957707
10.8,7,11549.405242
11.23,7,11572.376233
-6.0,7,11595.169979
5.46,7,11618.200758
11.27,7,11641.333018
12.8,7,11664.786147
2.41,7,11687.593784
-0.37,7,11710.898493
12.57,7,11734.676779
12.44,7,11757.788221
7.93,7,11780.482272
-6.0,7,11803.115398
11.46,7,11826.366645
12.44,7,11849.911799
12.2,7,11873.787629
-6.0,7,11896.53168
6.1,7,11919.628682
11.73,7,11942.469854
10.87,7,11965.771999
2.33,7,11988.505487
-3.3,7,12012.040395
10.47,7,12035.320891
10.69,7,12058.518381
9.14,7,12081.540318
-6.0,7,12104.370089
12.8,7,12127.912838
13.06,7,12150.806434
12.07,7,12174.011894
-6.0,7,12196.681104
5.6,7,12219.86689
12.3,7,12243.554775
12.66,7,12266.847836
2.21,7,12289.59041
-0.76,7,12313.143548
12.96,7,12336.160766
9.51,7,12359.068001
8.13,7,12382.059406
-6.0,7,12404.939371
10.64,7,12428.149637
10.34,7,12451.182283
10.57,7,12474.093197
-3.93,7,12496.787944
3.0,7,12520.20265
12.94,7,12543.463866
12.56,7,12566.907022
1.9,7,12589.901675
-3.4,7,12612.903766
10.68,7,12635.77833
11.6,7,12658.964361
9.7,7,12681.78177
-6.0,7,12704.522716
8.76,7,12727.521845
12.17,7,12751.134117
12.91,7,12774.620662
-3.67,7,12797.524929
3.04,7,12820.476207
12.43,7,12843.846387
11.58,7,12867.016748
2.14,7,12889.839257
-3.13,7,12913.089024
9.24,7,12936.62588
11.26,7,12959.478718
7.83,7,12982.506089
-6.0,7,13005.437749
10.2,7,13028.358638
10.6,7,13051.560654
12.53,7,13074.706074
-3.5,7,13097.414104
3.03,7,13120.535057
11.99,7,13144.148624
10.57,7,13167.364119
1.93,7,13190.196839
-2.83,7,13213.415728
12.6,7,13236.749905
9.5,7,13259.674214
7.56,7,13282.616612
-6.0,7,13305.445243
8.87,7,13328.435788
11.75,7,13351.420607
11.53,7,13374.388376
-3.07,7,13397.167928
2.76,7,13420.851569
11.37,7,13443.733725
9.63,7,13466.6393
2.63,7,13489.63821
-3.17,7,13512.640448
11.69,7,13535.61984
11.16,7,13558.961152
8.42,7,13581.869995
-6.0,7,13604.816484
6.86,7,13627.879024
9.96,7,13651.243643
12.07,7,13674.654701
-3.27,7,13697.476977
2.27,7,13721.044064
10.86,7,13743.965064
11.7,7,13767.573768
3.0,7,13790.398381
-3.73,7,13813.6331
10.7,7,13836.873653
8.33,7,13859.978464
6.63,7,13882.859061
-6.0,7,13905.831186
6.77,7,13928.950314
10.43,7,13951.96923
11.27,7,13975.542198
-3.27,7,13998.296615
2.69,7,14021.505674
10.73,7,14044.97862
9.89,7,14068.123557
2.13,7,14090.930285
-3.37,7,14114.092593
12.25,7,14137.351582
13.06,7,14160.860564
6.74,7,14183.694053
-6.0,7,14206.568739
9.65,7,14229.642722
11.86,7,14253.13068
12.69,7,14276.100415
-3.13,7,14299.054498
1.63,7,14322.120055
11.97,7,14345.196197
11.29,7,14368.451385
1.94,7,14391.304949
-3.67,7,14414.765239
11.6,7,14437.796734
11.64,7,14460.805141
10.44,7,14483.711524
-6.0,7,14506.458566
9.37,7,14529.635505
12.0,7,14552.493072
12.2,7,14575.910134
-3.27,7,14598.836109
1.94,7,14622.209029
11.87,7,14645.552801
11.8,7,14668.71491
4.49,7,14691.705595
-6.0,7,14714.839267
12.73,7,14737.745206
8.41,7,14760.706438
8.89,7,14783.714807
-6.0,7,14806.538956
5.39,7,14829.815158
10.8,7,14853.336112
11.3,7,14876.188932
-0.77,7,14899.107443
-1.07,7,14922.026641
10.57,7,14945.535546
12.2,7,14968.746439
5.53,7,14991.555618
-6.0,7,15014.621125
10.54,7,15037.442019
10.83,7,15060.338633
11.49,7,15083.251845
-6.0,7,15106.077813
5.5,7,15129.400011
9.75,7,15152.511132
8.61,7,15175.543
-0.97,7,15198.33239
-0.07,7,15221.744685
12.02,7,15244.51831
12.27,7,15267.874095
3.17,7,15290.846989
-6.0,7,15313.696231
9.67,7,15336.698329
9.57,7,15359.693425
10.19,7,15382.590744
-6.0,7,15405.447664
6.2,7,15428.997838
9.73,7,15451.922303
10.36,7,15474.688427
-0.57,7,15497.639002
0.1,7,15520.794557
10.27,7,15544.208493
10.14,7,15567.148635
4.83,7,15589.931218
-6.0,7,15612.952222
9.17,7,15635.98148
10.89,7,15658.701866
10.73,7,15681.64141
-3.9,7,15704.48022
2.1,7,15727.509928
10.9,7,15750.941661
11.2,7,15774.110419
2.1,7,15797.104545
-3.23,7,15820.335388
9.2,7,15843.250262
8.51,7,15866.395714
7.77,7,15889.536968
-6.0,7,15912.63889
6.43,7,15935.806378
9.21,7,15958.775773
8.3,7,15982.035072
-3.93,7,16005.031914
2.4,7,16028.267097
9.33,7,16051.448382
10.27,7,16074.580654
2.46,7,16097.285655
-3.63,7,16120.54553
9.98,7,16143.895751
10.86,7,16167.336178
8.13,7,16190.193055
-6.0,7,16212.91359
9.54,7,16235.836115
12.07,7,16259.390036
9.43,7,16282.551395
-3.5,7,16305.381897
1.9,7,16328.297389
9.47,7,16351.39089
10.83,7,16374.315248
2.9,7,16397.013571
-2.77,7,16420.145684
11.46,7,16443.37452
10.05,7,16466.336681
8.27,7,16489.16354
-6.0,7,16511.949375
9.97,7,16535.002119
12.22,7,16558.703668
11.7,7,16581.683698
-3.47,7,16604.42489
3.53,7,16627.900595
12.57,7,16651.286345
10.47,7,16674.438966
1.76,7,16697.283989
-3.3,7,16720.341321
10.13,7,16743.18317
9.84,7,16766.158086
7.4,7,16788.98403
-6.0,7,16811.725185
8.34,7,16834.889273
12.54,7,16857.744895
12.3,7,16880.929789
-3.33,7,16903.720494
2.37,7,16926.717693
12.43,7,16949.890063
12.4,7,16973.208456
4.93,7,16996.271654
-6.0,7,17019.448477
11.64,7,17042.281923
10.6,7,17065.672341
9.26,7,17088.576681
-6.0,7,17111.520476
8.44,7,17134.415018
7.34,7,17157.365087
10.03,7,17180.641529
-3.5,7,17203.69478
-1.44,7,17226.983855
8.43,7,17249.936429
9.71,7,17273.137662
4.56,7,17296.061226
-6.0,7,17319.101326
9.54,7,17342.226237
11.47,7,17365.658028
9.77,7,17388.799167
-6.0,7,17411.672129
6.1,7,17434.800341
12.0,7,17458.350694
10.83,7,17481.400856
-3.4,7,17504.3336
-1.16,7,17527.452499
9.6,7,17550.720199
10.09,7,17573.931325
4.47,7,17596.848874
-6.0,7,17619.937031
8.81,7,17643.003833
8.83,7,17665.903537
11.06,7,17688.895839
-6.0,7,17711.818371
7.67,7,17734.715487
10.57,7,17758.290505
10.65,7,17781.513149
